,0,1,2,3
407,12.024,2.8832,-1.4189,0.0
408,11.9346,2.7463,-1.4189,0.0
409,11.9816,2.6922,-1.4189,0.0
410,11.9385,2.8746,-1.4189,0.0
411,11.9832,2.8341,-1.4189,0.0
412,11.9725,2.653,-1.4189,0.0
413,11.9297,2.6904,-1.4189,0.0
414,12.0105,2.7932,-1.4189,0.0
415,12.0229,2.814,-1.4189,0.0
416,11.958,2.8674,-1.4189,0.0
417,12.0351,2.8364,-1.4189,0.0
418,11.9515,2.7462,-1.4189,0.0
419,11.9746,2.6436,-1.4189,0.0
420,12.0112,2.7913,-1.4189,0.0
421,11.989,2.8848,-1.4189,0.0
422,12.0266,2.8009,-1.4189,0.0
423,11.905,2.5718,-1.4189,0.0
424,11.9414,2.8654,-1.4189,0.0
425,11.9877,2.8157,-1.4189,0.0
426,11.9827,2.9112,-1.4189,0.0
427,11.9236,2.7927,-1.4189,0.0
428,11.9516,2.7482,-1.4189,0.0
429,11.9926,2.7949,-1.4189,0.0
430,11.9816,2.8416,-1.4189,0.0
431,11.9392,2.8728,-1.4189,0.0
432,11.9312,2.7589,-1.4189,0.0
433,11.9312,2.9046,-1.4189,0.0
434,11.9686,2.6715,-1.4189,0.0
435,11.9508,2.6734,-1.4189,0.0
436,11.96,2.8584,-1.4189,0.0
437,11.9344,2.8935,-1.4189,0.0
438,11.9628,2.7722,-1.4189,0.0
439,11.97,2.6643,-1.4189,0.0
440,11.9822,2.7652,-1.4189,0.0
441,12.0136,2.9283,-1.4189,0.0
442,11.9651,2.9819,-1.4189,1.0
443,12.0006,2.8362,-1.4189,0.0
444,11.9905,2.7294,-1.4189,0.0
445,11.9453,2.8489,-1.4189,0.0
446,11.9158,2.5937,-1.4188,0.0
447,12.0139,2.8513,-1.4188,0.0
448,11.9107,2.9862,-1.4188,1.0
449,11.9635,2.6901,-1.4188,0.0
450,11.9743,2.8673,-1.4188,0.0
451,11.949,2.7535,-1.4188,0.0
452,11.9204,2.6513,-1.4188,0.0
453,11.9487,2.9029,-1.4188,0.0
454,12.0327,2.8458,-1.4188,0.0
455,11.9146,2.8258,-1.4188,0.0
456,11.9445,2.7719,-1.4188,0.0
457,11.9492,2.9011,-1.4188,0.0
458,11.9687,2.6656,-1.4188,0.0
459,12.0255,2.874,-1.4188,0.0
460,12.0146,2.9189,-1.4188,0.0
461,12.0225,2.8119,-1.4188,0.0
462,11.9467,2.9104,-1.4188,0.0
463,11.9507,2.5915,-1.4188,0.0
464,11.9727,2.7254,-1.4188,0.0
465,11.9959,2.7013,-1.4188,0.0
466,12.0426,2.8761,-1.4188,0.0
467,11.9348,2.5881,-1.4188,0.0
468,12.0083,2.8719,-1.4188,0.0
469,11.9313,2.6809,-1.4188,0.0
470,12.0081,2.7986,-1.4188,0.0
471,11.9416,2.8579,-1.4188,0.0
472,11.9899,2.8751,-1.4188,0.0
473,11.9347,2.6659,-1.4188,0.0
474,11.9942,2.8586,-1.4188,0.0
475,11.9833,2.6807,-1.4188,0.0
476,11.9278,2.6176,-1.4188,0.0
477,11.9297,2.6884,-1.4188,0.0
478,12.0106,2.7872,-1.4188,0.0
479,11.9835,2.7536,-1.4188,0.0
480,11.9968,2.8492,-1.4188,0.0
481,11.9966,2.9225,-1.4188,0.0
482,11.9918,2.7928,-1.4188,0.0
483,11.9752,2.864,-1.4188,0.0
484,11.9308,2.9025,-1.4188,0.0
485,11.9908,2.8713,-1.4188,0.0
486,12.0009,2.7536,-1.4188,0.0
487,11.9605,2.6208,-1.4187,0.0
488,11.9123,2.6063,-1.4187,0.0
489,11.96,2.7755,-1.4187,0.0
490,11.982,2.8318,-1.4187,0.0
491,11.8979,2.8218,-1.4187,0.0
492,11.9169,2.5862,-1.4187,0.0
493,11.9272,2.9152,-1.4187,0.0
494,12.0053,2.7328,-1.4187,0.0
495,11.924,2.6305,-1.4187,0.0
496,11.9895,2.7252,-1.4187,0.0
497,12.0176,2.8283,-1.4187,0.0
498,11.9306,2.6787,-1.4187,0.0
499,11.8992,2.9595,-1.4187,7.0
500,11.9391,2.7177,-1.4187,0.0
501,11.936,2.5785,-1.4187,0.0
502,12.017,2.8321,-1.4187,0.0
503,11.939,2.6417,-1.4187,0.0
504,11.9273,2.7679,-1.4187,0.0
505,11.8958,2.6827,-1.4187,0.0
506,11.9238,2.6324,-1.4187,0.0
507,11.9674,2.7459,-1.4187,0.0
508,11.9671,2.8935,-1.4187,0.0
509,11.9793,2.6936,-1.4187,0.0
510,11.9787,2.8449,-1.4187,0.0
511,11.985,2.6657,-1.4187,0.0
512,11.9222,2.7904,-1.4187,0.0
513,11.9487,2.7495,-1.4187,0.0
514,11.9752,2.862,-1.4187,0.0
515,12.0049,2.8078,-1.4187,0.0
516,11.9965,2.6955,-1.4187,0.0
517,11.9435,2.7756,-1.4187,0.0
518,12.0047,2.8117,-1.4187,0.0
519,11.9201,2.7998,-1.4187,0.0
520,11.997,2.9147,-1.4187,0.0
521,11.9303,2.7548,-1.4187,0.0
522,11.9301,2.6826,-1.4187,0.0
523,11.9723,2.649,-1.4187,0.0
524,11.9268,2.7698,-1.4187,0.0
525,11.918,2.6602,-1.4187,0.0
526,11.9559,2.6434,-1.4187,0.0
527,12.0094,2.8642,-1.4187,0.0
528,11.9592,2.7792,-1.4187,0.0
529,11.9369,2.9454,-1.4187,1.0
530,11.9653,2.8298,-1.4187,0.0
531,11.9548,2.6491,-1.4187,0.0
532,11.9712,2.6507,-1.4187,0.0
533,11.9597,2.8523,-1.4187,0.0
534,12.026,2.8681,-1.4187,0.0
535,11.9121,2.9766,-1.4187,1.0
536,11.9404,2.7887,-1.4187,0.0
537,11.9291,2.61,-1.4187,0.0
538,11.977,2.6264,-1.4187,0.0
539,11.9668,2.595,-1.4187,0.0
540,11.9361,2.876,-1.4186,0.0
541,11.8979,2.9612,-1.4186,7.0
542,11.9626,2.6859,-1.4186,0.0
543,11.9839,2.6674,-1.4186,0.0
544,11.9356,2.8779,-1.4186,0.0
545,12.0231,2.8021,-1.4186,0.0
546,11.905,2.5581,-1.4186,0.0
547,11.9581,2.6301,-1.4186,0.0
548,11.9581,2.8559,-1.4186,0.0
549,11.9944,2.9236,-1.4186,0.0
550,11.9092,2.9127,-1.4186,0.0
551,11.9591,2.8502,-1.4186,0.0
552,11.9101,2.9801,-1.4186,1.0
553,11.955,2.7213,-1.4186,0.0
554,11.9294,2.8293,-1.4186,0.0
555,11.9919,2.7869,-1.4186,0.0
556,11.9114,2.9054,-1.4186,0.0
557,11.9429,2.7735,-1.4186,0.0
